0.00025	0.0005	2	0.0002	5.0	2000.0	10	70.559419	334.955695
0.00025	0.0005	2	0.0003	5.0	2000.0	10	79.434711	478.401762
0.00025	0.0005	2	0.0004	5.0	2000.0	10	84.720152	641.515247
0.00025	0.0005	2	0.0005	5.0	2000.0	10	91.316616	807.762397
0.00025	0.0005	2	0.00075	5.0	2000.0	10	-1	1283.693917
0.00025	0.0005	2	0.001	5.0	2000.0	10	-1	1684.712134
0.00025	0.0005	2	0.003	5.0	2000.0	10	-1	4814.127163
0.00025	0.0005	2	0.005	5.0	2000.0	10	-1	7892.3463
0.00025	0.0005	2	0.01	5.0	2000.0	10	-1	7892.3463
0.00025	0.0005	2	0.02	5.0	2000.0	10	-1	7892.3463
0.00025	0.0005	2	0.05	5.0	2000.0	10	-1	13001.238462
0.00025	0.0005	2	0.1	5.0	2000.0	10	-1	15546.092671
0.001	0.0005	2	0.0002	5.0	2000.0	10	83.210624	96.0
0.001	0.0005	2	0.0003	5.0	2000.0	10	96.697945	140.0
0.001	0.0005	2	0.0004	5.0	2000.0	10	107.075879	180.0
0.001	0.0005	2	0.0005	5.0	2000.0	10	114.829688	224.0
0.001	0.0005	2	0.00075	5.0	2000.0	10	129.463881	335.512068
0.001	0.0005	2	0.001	5.0	2000.0	10	140.118444	436.949044
0.001	0.0005	2	0.003	5.0	2000.0	10	196.906186	1215.815552
0.001	0.0005	2	0.005	5.0	2000.0	10	231.218118	1980.215606
0.001	0.0005	2	0.01	5.0	2000.0	10	355.422026	2048.570395
0.001	0.0005	2	0.02	5.0	2000.0	10	-1	2297.906823
0.001	0.0005	2	0.05	5.0	2000.0	10	-1	3673.818719
0.001	0.0005	2	0.1	5.0	2000.0	10	-1	4342.301542
0.003	0.0005	2	0.0002	5.0	2000.0	10	66.375555	32.0
0.003	0.0005	2	0.0003	5.0	2000.0	10	86.560961	52.0
0.003	0.0005	2	0.0004	5.0	2000.0	10	104.924891	68.0
0.003	0.0005	2	0.0005	5.0	2000.0	10	114.917978	84.0
0.003	0.0005	2	0.00075	5.0	2000.0	10	144.841524	128.0
0.003	0.0005	2	0.001	5.0	2000.0	10	167.531744	160.0
0.003	0.0005	2	0.003	5.0	2000.0	10	259.527835	450.0
0.003	0.0005	2	0.005	5.0	2000.0	10	307.461167	760.704877
0.003	0.0005	2	0.01	5.0	2000.0	10	495.969576	780.0
0.003	0.0005	2	0.02	5.0	2000.0	10	698.469616	820.0
0.003	0.0005	2	0.05	5.0	2000.0	10	1026.977393	1280.0
0.003	0.0005	2	0.1	5.0	2000.0	10	-1	1680.0
0.00025	0.005	2	0.0002	5.0	2000.0	10	71.74548	40.0
0.00025	0.005	2	0.0003	5.0	2000.0	10	91.013769	60.0
0.00025	0.005	2	0.0004	5.0	2000.0	10	109.621502	80.0
0.00025	0.005	2	0.0005	5.0	2000.0	10	120.89154	100.0
0.00025	0.005	2	0.00075	5.0	2000.0	10	147.810942	150.0
0.00025	0.005	2	0.001	5.0	2000.0	10	168.038508	190.0
0.00025	0.005	2	0.003	5.0	2000.0	10	247.0241	510.0
0.00025	0.005	2	0.005	5.0	2000.0	10	289.028986	877.474727
0.00025	0.005	2	0.01	5.0	2000.0	10	468.553653	840.0
0.00025	0.005	2	0.02	5.0	2000.0	10	667.231809	960.0
0.00025	0.005	2	0.05	5.0	2000.0	10	-1	1640.0
0.00025	0.005	2	0.1	5.0	2000.0	10	-1	1920.0
0.001	0.005	2	0.0002	5.0	2000.0	10	29.700861	12.0
